Station,District,BuiltDate
1478,중랑구,2020-04-21
1479,중랑구,2020-04-14
1480,중랑구,2020-04-16
1302,성북구,2017-06-20
1303,성북구,2017-06-30
1304,성북구,2017-06-20
1305,성북구,2017-08-03
1306,성북구,2017-06-22
1308,성북구,2017-06-20
1314,성북구,2017-04-26
1315,성북구,2017-04-26
1316,성북구,2017-04-26
1318,성북구,2017-04-26
1319,성북구,2017-04-26
1320,성북구,2017-05-02
1321,성북구,2017-05-11
1322,성북구,2017-04-26
1323,성북구,2017-04-26
1325,성북구,2017-04-26
1326,성북구,2017-04-26
1327,성북구,2017-04-26
1328,성북구,2017-06-27
1332,성북구,2017-04-26
1333,성북구,2017-04-26
1334,성북구,2017-04-26
1336,성북구,2017-11-13
1337,성북구,2017-11-13
1338,성북구,2017-11-13
1339,성북구,2017-11-13
1340,성북구,2017-11-13
1342,성북구,2017-11-13
1343,성북구,2017-11-13
1344,성북구,2017-11-13
1346,성북구,2017-11-13
1347,성북구,2017-11-13
1348,성북구,2017-11-13
1349,성북구,2017-11-13
1351,성북구,2017-11-13
1352,성북구,2017-11-13
1353,성북구,2017-11-13
1354,성북구,2017-11-28
1355,성북구,2017-12-22
1357,성북구,2018-02-26
1358,성북구,2018-02-26
1359,성북구,2018-02-26
1360,성북구,2018-02-26
1361,성북구,2018-02-26
1362,성북구,2018-11-02
1363,성북구,2018-11-04
1364,성북구,2018-11-02
1365,성북구,2018-10-27
1366,성북구,2018-10-26
1367,성북구,2018-11-02
1368,성북구,2018-11-02
1369,성북구,2018-10-26
1370,성북구,2018-10-27
1372,성북구,2018-10-24
1373,성북구,2020-09-24
1375,성북구,2018-12-27
1376,성북구,2019-05-21
1377,성북구,2019-05-21
1379,성북구,2020-03-26
1380,성북구,2020-03-30
1381,성북구,2020-03-25
1382,성북구,2020-03-26
1384,성북구,2020-03-28
1385,성북구,2020-06-17
1386,성북구,2020-03-28
1388,성북구,2020-03-28
1390,성북구,2020-05-05
1391,성북구,2020-03-24
